% {"flow_id": 8784, "openml_server": "https://www.openml.org/api/v1", "measure": ["f_measure"], "normalized_y": false, "study_id": 14, "max_runs_per_task": 2000}
@RELATION openml-meta-flow-8784

@ATTRIBUTE columntransformer__numeric__imputer__strategy {mean, median, most_frequent}
@ATTRIBUTE f_measure NUMERIC
@ATTRIBUTE svc__C NUMERIC
@ATTRIBUTE svc__coef0 NUMERIC
@ATTRIBUTE svc__degree NUMERIC
@ATTRIBUTE svc__gamma NUMERIC
@ATTRIBUTE svc__kernel {rbf, poly, sigmoid}
@ATTRIBUTE svc__max_iter {-1}
@ATTRIBUTE svc__shrinking {True, False}
@ATTRIBUTE svc__tol NUMERIC
@ATTRIBUTE task_id NUMERIC

@DATA
mean,0.9793552920705748,10243.005300625127,?,?,0.00032842999002036667,rbf,-1,True,3.246200115445935e-05,3
median,0.970599235324904,51.069810915211384,0.7420671389582258,1.0,0.9304923560149646,poly,-1,True,0.00029004561252952917,3
most_frequent,0.9949937421777222,428.3818835538286,0.33623483759385464,2.0,4.2221393646453365,poly,-1,False,8.220808663575721e-05,3
median,0.9382471937493111,6.7764374093443935,-0.5574391339277434,1.0,0.0033537184074253494,poly,-1,True,0.00247119605515645,3
most_frequent,0.947405553487272,1565.4997787051918,-0.6097002650701517,5.0,0.00015656905043258352,poly,-1,True,0.031444450347086386,3
mean,0.9971840189231721,198.0378525337397,0.34737749845611554,4.0,4.524482971688989,poly,-1,True,0.00018837494325017436,3
mean,0.9382471937493111,324.1294005262018,-0.9553784119262803,3.0,3.9433425834226245e-05,poly,-1,False,0.003145728499715531,3
mean,0.9971840189231721,860.7794713837856,0.5133002335165509,3.0,0.035407822438213755,poly,-1,False,0.0003511493078383042,3
median,0.9179809954422631,8.777163068835032,?,?,0.00018683610559239278,rbf,-1,True,4.017556085588747e-05,3
median,0.45158127998277825,9.246022947994351,?,?,2.4047124495649195,rbf,-1,True,1.540917729780373e-05,3
median,0.9382471937493111,6.3123474117204434,?,?,0.002363518603211976,rbf,-1,True,0.0775852144803467,3
mean,0.9596263387194752,0.6037254809947943,?,?,0.05942661083886781,rbf,-1,True,0.006223583133723409,3
mean,0.8476930218459969,39.78223444329817,?,?,1.8476069335552214,rbf,-1,False,0.011205314290097723,3
most_frequent,0.9962455099206988,9615.301544493233,?,?,0.014228104260865734,rbf,-1,False,0.006359759524641421,3
median,0.9971839404721075,132.13725917945467,-0.08391776871134127,3.0,0.028088091447415628,poly,-1,True,0.0012192543060620847,3
most_frequent,0.9341969816682174,0.8473693083048071,-0.9781883570908001,?,0.01960171436115306,sigmoid,-1,False,0.00032241803280513013,3
mean,0.9633977598164933,272.9112545093896,-0.2514612624215298,?,0.0014608807904882926,sigmoid,-1,False,0.0004249822035231607,3
median,0.6604112136837385,804.3074254227065,0.8827492274024349,?,0.1290019039206892,sigmoid,-1,False,0.0830070207867794,3
median,0.9165726403460049,0.24760587389883407,-0.8574684467476559,?,0.01195723070236912,sigmoid,-1,True,0.00251534432825048,3
most_frequent,0.7738658593310186,945.7701065300107,-0.2930793718892637,?,0.047810343170848715,sigmoid,-1,True,0.00022784710464115903,3
most_frequent,0.90395133081114,10097.298852824208,0.877434694485794,?,0.004322154958527958,sigmoid,-1,False,2.201347182799706e-05,3
most_frequent,0.29932110106196697,113.60154714255795,-0.12131627003164547,2.0,0.0006858862089322053,poly,-1,False,9.451876309612781e-05,3
median,0.9174033568371027,1862.451328154161,0.4117116580553273,?,0.00416750682503984,sigmoid,-1,True,0.0211209275718968,3
median,0.9382471937493111,146.8609023493364,-0.40891421855729315,?,0.0002363709197145087,sigmoid,-1,True,6.192684721128045e-05,3
most_frequent,0.5147080588898605,3858.1332998761527,-0.024492766482632655,?,0.345463914769148,sigmoid,-1,True,0.0020480536205147496,3
mean,0.8291413372202386,15.934835844786207,0.14518272339725669,?,0.025655387976269203,sigmoid,-1,False,0.02951927007678775,3
most_frequent,0.9154273401449241,1.6939477464630959,?,?,0.0008234924107448786,rbf,-1,True,3.520813084579987e-05,3
mean,0.9712264738087585,21013.443983202036,?,?,0.0001056009912818099,rbf,-1,False,0.010041147678493073,3
median,0.9589989575968385,2.9598811369452718,?,?,0.017473353497005534,rbf,-1,False,1.061864000667952e-05,3
median,0.9151897414687961,30.052206831374857,0.14014621743106592,?,0.00013495960479327314,sigmoid,-1,False,1.3343892461694924e-05,3
most_frequent,0.9971840189231721,2775.7259643310704,0.4792171369882421,4.0,1.1021891336176302,poly,-1,False,0.00202116578551243,3
mean,0.8933058497839335,43.221159958460476,-0.40290948979510466,?,4.4600317024613667e-05,sigmoid,-1,True,4.378711712799731e-05,3
median,0.9949937421777222,25.893596054024325,-0.10951414757856415,2.0,1.1142783167680188,poly,-1,False,0.0008279493488178442,3
median,0.5850764993394583,1.6906104266773017,0.9468209134387635,5.0,5.05829501841866e-05,poly,-1,True,0.0468900593538654,3
mean,0.9974968710888611,10.246935766325427,-0.17073015128179359,5.0,0.04324680804022675,poly,-1,False,0.07359307605007233,3
median,0.9711854826620312,6.571080944419213,?,?,1.0602120242883564,rbf,-1,False,0.0699085861600298,3
median,0.9705969311308187,555.7814461648783,-0.9413649152687364,1.0,0.1406219636060021,poly,-1,True,0.002712877137765095,3
most_frequent,0.9156877354270496,0.5297399977045166,?,?,0.0024403178520781307,rbf,-1,False,2.1773520272817798e-05,3
median,0.9968711747964301,1326.0301443760027,?,?,0.019273147177605403,rbf,-1,False,0.005175243617094214,3
most_frequent,0.9971840951558817,337.1716530257825,?,?,0.07201220493595335,rbf,-1,True,0.001309190865849223,3
median,0.9974969398371442,113.59953372809412,-0.9052373252163957,4.0,0.13913660702683328,poly,-1,False,0.0022083748616726915,3
most_frequent,0.909585083193435,19.944588774500396,-0.9155034169754426,1.0,0.0005501037906600666,poly,-1,False,2.8956865329324992e-05,3
median,0.9968711747964301,25350.79417531938,-0.5369885104040875,3.0,1.0200822564379022,poly,-1,True,4.345575874211664e-05,3
median,0.9909260304101241,7722.308420989681,0.9819350601702999,3.0,0.0007270195014346484,poly,-1,True,0.0020352018749827125,3
median,0.9821681393977788,3625.396393791791,-0.8944048215686304,?,0.0016339099734246974,sigmoid,-1,True,9.274993006804666e-05,3
mean,0.9252179747592991,18098.202888232794,0.5568993140762992,?,0.0019505351358622717,sigmoid,-1,True,0.00025008655868673577,3
median,0.9862358038615665,0.0971601393836045,0.6930450869294813,2.0,0.25236452746969446,poly,-1,True,1.0202536198785998e-05,3
median,0.9974969398371442,0.4679807708912591,-0.12408264649078116,5.0,0.8455778274334094,poly,-1,True,2.1416867533880036e-05,3
most_frequent,0.6914893617021277,29541.72450112818,0.7239265236512671,?,0.08778806728227849,sigmoid,-1,False,0.01112887777060873,3
median,0.9765407045363373,3854.573102165603,-0.17025905461626567,?,0.0016805697801814013,sigmoid,-1,True,0.001283407358394499,3
most_frequent,0.9017494144620998,982.0708718583186,0.9855489475104755,?,0.005561159936321821,sigmoid,-1,False,1.8570505427992746e-05,3
mean,0.9953066982052869,1236.101484522879,?,?,0.005402034238420814,rbf,-1,True,0.0010154225528891845,3
mean,0.9971840189231721,13954.857122353327,-0.6026822500361984,4.0,0.30870227485794416,poly,-1,False,0.003490876427032495,3
most_frequent,0.9971840189231721,415.4657818386105,-0.7147839385732557,3.0,0.10584914699341456,poly,-1,False,0.0004388688108846699,3
mean,0.679944586751912,5.278595810421774,0.916289696778452,?,0.00016308029691631696,sigmoid,-1,True,0.015768820542540623,3
median,0.38344525084909714,2408.9456524266543,-0.42002216419065563,2.0,0.002981643623640586,poly,-1,False,0.013170747337505478,3
mean,0.9655810050663407,2.345185817029509,?,?,0.0260367434374386,rbf,-1,True,0.00026936396712044693,3
median,0.9382471937493111,56.143112632179616,-0.37485281737626797,?,0.0008296580553245206,sigmoid,-1,False,0.002840005306390638,3
median,0.9959324717779154,6450.6412098134915,?,?,0.16657481823840767,rbf,-1,False,9.884230667547985e-05,3
mean,0.9382471937493111,0.03378114719622924,-0.9118116007886743,1.0,0.46415352028745155,poly,-1,False,0.08508261235327833,3
mean,0.9946809246326586,633.8518446491197,0.2944939008252918,2.0,0.09235286314703561,poly,-1,False,0.07227713460969745,3
most_frequent,0.9953069486179685,6260.10967974472,?,?,0.010342517083860045,rbf,-1,False,0.019827785430521116,3
median,0.9492638276335336,1.1978941426979013,?,?,0.023181531516841127,rbf,-1,False,0.0017423888719221411,3
most_frequent,0.9959325818918292,8832.805478049275,?,?,0.09268746839689586,rbf,-1,True,0.0016807945939514256,3
median,0.9130112867217386,61.660521754971256,0.6382397361715286,4.0,6.542705883009173e-05,poly,-1,False,0.00012260245048239764,3
median,0.9974969398371442,0.0887916813584898,0.02168232072217746,5.0,0.5556419161279423,poly,-1,False,0.0022825609324194467,3
median,0.9104530266015228,20.299571757612714,-0.6804607328091035,5.0,0.0036202486457728423,poly,-1,False,0.03161768393118652,3
most_frequent,0.9971840189231721,2180.5811014900964,?,?,0.03214840064980211,rbf,-1,True,0.0015532092999344179,3
mean,0.9382471937493111,1.3650153934651774,?,?,0.0064480294726315685,rbf,-1,True,9.794123391244146e-05,3
median,0.9974969398371442,0.10479591902145899,-0.2208250119051145,5.0,4.184160279171589,poly,-1,True,0.0010353852600008117,3
median,0.9442446909103573,7110.56406686545,-0.8973186424603234,?,3.731613044811877e-05,sigmoid,-1,False,0.05201530728085109,3
most_frequent,0.9974969398371442,3.0884845747551903,-0.9510178829404417,5.0,1.2512719813778905,poly,-1,False,0.0008868310802377595,3
mean,0.992177830342145,140.38085299513043,0.4158291278405124,3.0,0.0065657387340312375,poly,-1,False,0.003948386886751137,3
mean,0.9959323584597107,3.1787363675811564,?,?,0.14892994487285172,rbf,-1,False,0.000747198479180528,3
most_frequent,0.9971840189231721,4.257334148735767,0.3275493078099463,4.0,0.6206604061943549,poly,-1,True,1.5755349086149663e-05,3
median,0.8537312302813351,1.581179089954779,?,?,0.00035940961855224397,rbf,-1,True,0.0044540419578780405,3
median,0.9677868700966912,20865.526994677304,-0.6377701091494203,?,9.395411639638486e-05,sigmoid,-1,False,0.014672956545787433,3
most_frequent,0.9332513223340927,16.135723573588205,0.0505835018903813,5.0,0.007054831158132722,poly,-1,True,6.97779122925881e-05,3
mean,0.9407689188773094,1251.3783635276122,0.21795588214802208,?,7.56445650336549e-05,sigmoid,-1,False,0.011044287785293703,3
mean,0.6261104123642967,1661.7804867451232,-0.6007975002916113,?,0.2679500977353949,sigmoid,-1,True,0.00034348025408040614,3
mean,0.9154099031391298,4.4010228737027495,0.16954155354416645,?,0.0006095778596491628,sigmoid,-1,True,0.00034467720266994684,3
mean,0.9574512823203012,1.6377784812464118,-0.5790356962475096,1.0,0.29182321434822955,poly,-1,True,0.028750271523194367,3
median,0.8904911178750516,304.03814449369906,0.33977693110139495,?,0.00964779683296463,sigmoid,-1,False,0.007714259492378452,3
median,0.7999544442412561,0.3267800646377759,-0.8763114972474537,?,0.00397370860706059,sigmoid,-1,True,0.00013625860158960557,3
mean,0.9734046231632928,507.9742179420637,-0.5945222194142101,?,0.01750725262493486,sigmoid,-1,True,0.021029698581035837,3
median,0.9524319261716612,985.0709872691317,-0.7214933510989958,?,0.00040031649875779446,sigmoid,-1,True,0.00012658375311300402,3
most_frequent,0.9217578144789164,165.39420488217834,-0.6898835975134847,3.0,0.0023234196306090994,poly,-1,True,0.014269835881311884,3
most_frequent,0.9680876605961535,0.7178926391674765,?,?,0.07657181392276309,rbf,-1,False,0.0004514528554648186,3
mean,0.8884741972346218,0.9122259874945108,?,?,0.0008577740719741495,rbf,-1,False,0.04730763050643317,3
mean,0.9943679599499374,575.3552824440252,?,?,0.006105191416609049,rbf,-1,True,5.5522151033157194e-05,3
mean,0.9524319261716612,1.9345567280738374,-0.3842654638971188,1.0,0.1661218378198329,poly,-1,False,0.0008197592741023907,3
mean,0.9968711747964301,3999.614047054087,-0.47993339102209465,3.0,0.2800097593524435,poly,-1,True,8.172307163438728e-05,3
median,0.9382471937493111,389.92319754175537,-0.9799180577615132,?,0.00022533322169685977,sigmoid,-1,True,0.0029591781098185772,3
mean,0.9382471937493111,20379.553208191155,-0.2902262545655867,5.0,7.639482753080246e-05,poly,-1,False,6.514705266184055e-05,3
mean,0.9918646011974988,6458.03198705215,-0.500597443866438,?,0.0034308338398396578,sigmoid,-1,True,0.00013751253868344546,3
most_frequent,0.9812302442181514,526.5301186133066,-0.986061506219094,?,0.004299051198035479,sigmoid,-1,True,0.019866628931973163,3
median,0.9931162010132681,14539.476388740322,?,?,0.0011768925984324927,rbf,-1,False,0.0016666038322981104,3
median,0.9921773883392561,18198.13520160371,?,?,0.0008440338691978618,rbf,-1,True,2.1511255366569793e-05,3
median,0.6684738254962679,3331.0813441635296,-0.8634211445334667,5.0,0.019039494952291517,poly,-1,False,0.0005394197553076825,3
most_frequent,0.9859204757794084,12775.7048163516,?,?,0.0004985012981465386,rbf,-1,True,0.0006118214215692623,3
most_frequent,0.9852988415094383,0.19465894651766186,-0.9613467708759609,3.0,0.08875634970240087,poly,-1,False,0.0003516147683877843,3
mean,0.5069044806810846,1.175272856233031,-0.849732234286003,?,0.18910730302622605,sigmoid,-1,False,0.09030009570231391,3
most_frequent,0.9959323584597107,2.818516615240754,?,?,0.13569315890263808,rbf,-1,True,0.0007509993753289792,3
most_frequent,0.9208328398786695,256.11811904199703,0.4738146785460393,?,0.0054305569098170555,sigmoid,-1,True,3.6229913739651605e-05,3
mean,0.9055313406080323,26.056134180635848,?,?,0.00018387849847143606,rbf,-1,True,0.009451674484332925,3
median,0.9968711747964301,1629.8644400580154,?,?,0.01943148009346705,rbf,-1,False,0.03041421753467035,3
most_frequent,0.8171760504996822,10.780730542136055,-0.8646834319082053,?,0.0001621482099481985,sigmoid,-1,True,0.0017473593268269787,3
most_frequent,0.9871716417611177,30524.942650167115,-0.17535675912839532,?,0.001510641708408748,sigmoid,-1,False,0.03306935994009949,3
mean,0.3847083224254395,1095.6177515289007,-0.5871568264405098,2.0,0.012242770411645001,poly,-1,True,5.003353772840176e-05,3
median,0.9940551510600303,9364.070770124556,?,?,0.30645782078476086,rbf,-1,True,6.896581124539447e-05,3
median,0.968099216311077,19285.87545030127,-0.6434607475898131,1.0,0.00015316276115989998,poly,-1,True,0.00013811728367121558,3
most_frequent,0.9382471937493111,0.06092066797501401,0.7226041862649975,2.0,0.06690130391897799,poly,-1,False,0.0003528279440631565,3
most_frequent,0.947699135519739,4.806843405518295,?,?,0.008762518833341029,rbf,-1,True,0.0006636047670710866,3
mean,0.3516524679404405,46.657669799367596,-0.8956167918690685,2.0,0.0034108120728176174,poly,-1,False,0.01890060874109196,3
most_frequent,0.9918643649451986,25684.25855065938,?,?,0.0007554055273099716,rbf,-1,True,0.0027759599437502396,3
median,0.3586713409837287,13790.479345392394,-0.24363068697129098,4.0,0.0005842939751329757,poly,-1,False,0.0033584088215178097,3
mean,0.9524319261716612,1715.8565538245443,?,?,7.371143932861239e-05,rbf,-1,True,0.0003697906772962691,3
mean,0.9114577639256728,10.490111433912258,?,?,0.00023429008603595948,rbf,-1,True,0.0001673864209511246,3
mean,0.9965583385238554,22.59017006741584,0.3777305628523777,3.0,0.06795097930633523,poly,-1,False,0.06224130027239212,3
median,0.9968711747964301,0.29506718186751335,-0.01594737000252855,3.0,0.885881856144676,poly,-1,True,7.51521846745197e-05,3
mean,0.9382471937493111,9.265865497496295,?,?,0.0014830895129701567,rbf,-1,True,0.0009740809168965168,3
mean,0.9868592847224456,3535.412467313187,?,?,0.0010453006285481208,rbf,-1,False,0.007154559855461171,3
median,0.7682676598525622,10.478284558575469,0.7805214613616562,?,0.00010483320431876619,sigmoid,-1,True,0.0058704846808119845,3
most_frequent,0.9130138128040248,29.686404453877685,?,?,0.00020389493803533797,rbf,-1,True,1.582095979698635e-05,3
mean,0.9367639735852562,8089.999355927364,-0.28201683217302853,5.0,0.0006242632170623816,poly,-1,True,7.440346191997957e-05,3
median,0.9049075095853545,89.85260920851184,?,?,5.140425304836671e-05,rbf,-1,False,7.367939206757083e-05,3
most_frequent,0.6843517471129377,1.155224414179055,-0.5854109987394747,?,0.12151070452618089,sigmoid,-1,True,7.306555271398652e-05,3
mean,0.9962453066332916,14268.377039214336,?,?,0.14910514235892566,rbf,-1,False,2.9773696451135923e-05,3
most_frequent,0.9956197615741484,2959.7704534852114,?,?,0.011715083310920773,rbf,-1,False,0.001348414639431326,3
